REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Turkmenistan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,65.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
Cuba,Service capacity and access,Universal health coverage (UHC) service coverage index,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,92.0,95.0,98.0,100.0,99.0
Slovenia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,56.0,56.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0
Bulgaria,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,53.0,54.0,55.0,56.0,56.0,58.0,60.0,61.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,75.0,76.0,77.0
Canada,Full index,Universal health coverage (UHC) service coverage index,82.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Turkmenistan,Full index,Universal health coverage (UHC) service coverage index,76.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,80.0,81.0,81.0
Israel,Service capacity and access,Universal health coverage (UHC) service coverage index,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,85.0,86.0,88.0,89.0,89.0,93.0,97.0,95.0,95.0,95.0,95.0,95.0
Lithuania,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,67.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0
Benin,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,33.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,32.0,30.0,31.0,32.0,33.0,34.0,36.0,37.0,38.0,39.0,40.0
Barbados,Service capacity and access,Universal health coverage (UHC) service coverage index,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,90.0,88.0,92.0,89.0,96.0,94.0,96.0,91.0,88.0,82.0,86.0,89.0,88.0
Czechia,Service capacity and access,Universal health coverage (UHC) service coverage index,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,96.0,96.0,96.0,97.0,98.0,88.0,88.0,90.0,91.0,92.0,92.0
Spain,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Yemen, Rep.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,60.0,60.0,61.0,61.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0
Mexico,Non-communicable diseases,Universal health coverage (UHC) service coverage index,59.0,59.0,60.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,70.0,70.0,71.0
"Korea, Rep.",Service capacity and access,Universal health coverage (UHC) service coverage index,81.0,84.0,86.0,86.0,88.0,88.0,89.0,90.0,90.0,90.0,90.0,95.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,99.0,99.0,98.0,100.0,100.0
Greece,Full index,Universal health coverage (UHC) service coverage index,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,78.0,78.0,77.0
Jamaica,Infectious diseases,Universal health coverage (UHC) service coverage index,74.0,75.0,76.0,76.0,77.0,80.0,80.0,81.0,82.0,83.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0
Libya,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,61.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,61.0,61.0,62.0,62.0,63.0,63.0
Nepal,Service capacity and access,Universal health coverage (UHC) service coverage index,18.0,18.0,18.0,18.0,18.0,21.0,22.0,23.0,24.0,25.0,26.0,29.0,27.0,33.0,35.0,37.0,39.0,27.0,29.0,33.0,35.0,41.0,48.0,50.0
Peru,Full index,Universal health coverage (UHC) service coverage index,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,67.0,65.0,65.0,65.0,66.0,69.0,70.0,71.0,70.0,70.0,70.0,69.0,70.0,68.0,69.0,68.0
Azerbaijan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,32.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,38.0
Timor-Leste,Non-communicable diseases,Universal health coverage (UHC) service coverage index,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
Monaco,Service capacity and access,Universal health coverage (UHC) service coverage index,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,86.0,90.0,92.0,92.0,92.0,93.0,94.0,93.0,92.0,92.0,90.0,92.0
Afghanistan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,38.0,40.0,41.0,42.0,44.0,45.0,46.0,46.0,46.0,44.0,46.0,48.0,49.0,48.0,47.0,49.0,51.0,52.0,54.0,53.0,51.0,49.0,48.0,46.0
Lebanon,Non-communicable diseases,Universal health coverage (UHC) service coverage index,47.0,47.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,44.0,44.0,44.0,43.0,43.0,42.0,42.0,41.0,41.0,40.0,40.0,39.0,39.0,38.0
Guinea-Bissau,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,52.0,49.0,47.0,49.0,51.0,53.0,56.0,57.0,57.0,57.0,58.0,58.0
Switzerland,Full index,Universal health coverage (UHC) service coverage index,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0
Mozambique,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,55.0,53.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,60.0,61.0,63.0
Namibia,Infectious diseases,Universal health coverage (UHC) service coverage index,21.0,21.0,21.0,18.0,24.0,27.0,29.0,31.0,32.0,32.0,33.0,34.0,35.0,36.0,36.0,37.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,41.0
Solomon Islands,Service capacity and access,Universal health coverage (UHC) service coverage index,43.0,43.0,43.0,43.0,44.0,41.0,42.0,44.0,46.0,47.0,47.0,46.0,42.0,51.0,54.0,54.0,54.0,54.0,46.0,49.0,51.0,53.0,53.0,53.0
Argentina,Infectious diseases,Universal health coverage (UHC) service coverage index,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Sri Lanka,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Ghana,Non-communicable diseases,Universal health coverage (UHC) service coverage index,67.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
Guyana,Infectious diseases,Universal health coverage (UHC) service coverage index,76.0,76.0,76.0,77.0,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,88.0,88.0,89.0,90.0,90.0,91.0,91.0
Papua New Guinea,Infectious diseases,Universal health coverage (UHC) service coverage index,16.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0
Malawi,Infectious diseases,Universal health coverage (UHC) service coverage index,6.0,4.0,2.0,3.0,4.0,4.0,12.0,17.0,22.0,25.0,26.0,23.0,37.0,43.0,41.0,34.0,46.0,47.0,58.0,57.0,44.0,49.0,46.0,40.0
Israel,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Haiti,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,32.0,33.0,34.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,43.0,44.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
Federal Republic of Somalia,Service capacity and access,Universal health coverage (UHC) service coverage index,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,13.0,14.0,14.0,15.0,15.0,11.0,15.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,21.0
Honduras,Full index,Universal health coverage (UHC) service coverage index,56.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,64.0,65.0,63.0,60.0,64.0,65.0,64.0,64.0,64.0
Angola,Non-communicable diseases,Universal health coverage (UHC) service coverage index,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0
Jordan,Service capacity and access,Universal health coverage (UHC) service coverage index,85.0,86.0,86.0,87.0,87.0,87.0,89.0,86.0,85.0,88.0,90.0,91.0,91.0,89.0,90.0,86.0,81.0,81.0,68.0,68.0,68.0,73.0,78.0,80.0
Grenada,Non-communicable diseases,Universal health coverage (UHC) service coverage index,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Japan,Non-communicable diseases,Universal health coverage (UHC) service coverage index,47.0,48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0
Côte d’Ivoire,Non-communicable diseases,Universal health coverage (UHC) service coverage index,50.0,51.0,52.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0
Myanmar,Non-communicable diseases,Universal health coverage (UHC) service coverage index,8.0,10.0,11.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,26.0,27.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,35.0,36.0,37.0
Singapore,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kyrgyz Republic,Service capacity and access,Universal health coverage (UHC) service coverage index,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,78.0,80.0,73.0,76.0,77.0
Oman,Non-communicable diseases,Universal health coverage (UHC) service coverage index,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,70.0,69.0,68.0,68.0,68.0
Philippines,Full index,Universal health coverage (UHC) service coverage index,56.0,56.0,57.0,57.0,57.0,58.0,59.0,59.0,62.0,61.0,59.0,63.0,64.0,65.0,66.0,66.0,68.0,68.0,67.0,66.0,69.0,68.0,69.0,69.0
Sri Lanka,Infectious diseases,Universal health coverage (UHC) service coverage index,77.0,78.0,78.0,79.0,80.0,81.0,82.0,82.0,83.0,84.0,85.0,86.0,87.0,87.0,88.0,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,95.0
"Korea, Dem. People's Rep.",Infectious diseases,Universal health coverage (UHC) service coverage index,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,78.0,79.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,84.0,85.0,84.0,84.0
Sierra Leone,Infectious diseases,Universal health coverage (UHC) service coverage index,7.0,7.0,6.0,5.0,4.0,5.0,15.0,17.0,15.0,17.0,29.0,30.0,25.0,25.0,35.0,35.0,28.0,34.0,35.0,33.0,41.0,41.0,34.0,41.0
Syrian Arab Republic,Service capacity and access,Universal health coverage (UHC) service coverage index,58.0,58.0,58.0,58.0,59.0,56.0,59.0,58.0,59.0,58.0,59.0,61.0,65.0,64.0,68.0,64.0,61.0,65.0,66.0,57.0,59.0,63.0,63.0,56.0
Paraguay,Infectious diseases,Universal health coverage (UHC) service coverage index,71.0,72.0,73.0,74.0,75.0,76.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0
Namibia,Full index,Universal health coverage (UHC) service coverage index,49.0,50.0,50.0,49.0,53.0,55.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,60.0,60.0,58.0,60.0,61.0,61.0,65.0,66.0
Niue,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0
Panama,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,76.0,77.0,77.0,77.0,77.0,76.0,77.0,77.0,76.0
Iceland,Non-communicable diseases,Universal health coverage (UHC) service coverage index,55.0,57.0,58.0,60.0,62.0,64.0,66.0,67.0,69.0,70.0,71.0,73.0,74.0,75.0,76.0,77.0,78.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0
Moldova,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,64.0,64.0,63.0,63.0,62.0,62.0,63.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,69.0,69.0,70.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0
Russian Federation,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,77.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0
Cuba,Non-communicable diseases,Universal health coverage (UHC) service coverage index,43.0,45.0,46.0,48.0,50.0,52.0,53.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0
Papua New Guinea,Full index,Universal health coverage (UHC) service coverage index,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,26.0,28.0,30.0,31.0,32.0
Nicaragua,Infectious diseases,Universal health coverage (UHC) service coverage index,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
Colombia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,68.0,68.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0
Serbia,Infectious diseases,Universal health coverage (UHC) service coverage index,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Albania,Full index,Universal health coverage (UHC) service coverage index,56.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,64.0,66.0,67.0,68.0,69.0,70.0,71.0
Brunei Darussalam,Full index,Universal health coverage (UHC) service coverage index,72.0,74.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,81.0,83.0,84.0,84.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0
El Salvador,Non-communicable diseases,Universal health coverage (UHC) service coverage index,70.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0
"Micronesia, Fed. Sts.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,39.0,39.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Barbados,Non-communicable diseases,Universal health coverage (UHC) service coverage index,63.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Turkmenistan,Service capacity and access,Universal health coverage (UHC) service coverage index,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,92.0,90.0,88.0,86.0,87.0,86.0,90.0,90.0,90.0
Burkina Faso,Non-communicable diseases,Universal health coverage (UHC) service coverage index,42.0,44.0,45.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0
Benin,Service capacity and access,Universal health coverage (UHC) service coverage index,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,25.0,22.0,21.0,23.0,22.0,21.0,17.0,14.0,17.0,20.0,20.0,22.0,23.0,23.0,22.0
Armenia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,41.0,41.0,42.0,42.0,43.0,43.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0
Thailand,Infectious diseases,Universal health coverage (UHC) service coverage index,84.0,86.0,87.0,89.0,90.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0
"Venezuela, RB","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,71.0,71.0,71.0,71.0,73.0,73.0,73.0,72.0,71.0,74.0,74.0,74.0,76.0,77.0,78.0,79.0,78.0,77.0,77.0,77.0,77.0,77.0,76.0,77.0
"Congo, Rep.",Infectious diseases,Universal health coverage (UHC) service coverage index,7.0,6.0,7.0,7.0,7.0,8.0,10.0,12.0,15.0,13.0,14.0,19.0,30.0,34.0,34.0,33.0,29.0,25.0,26.0,37.0,38.0,36.0,40.0,40.0
"Gambia, The","Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,62.0,63.0,62.0,62.0,61.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,59.0,57.0,56.0,55.0,57.0,60.0,60.0,60.0,61.0
Sudan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,45.0,46.0,45.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,46.0
São Tomé and Príncipe,Full index,Universal health coverage (UHC) service coverage index,41.0,42.0,43.0,44.0,45.0,47.0,48.0,48.0,49.0,50.0,51.0,51.0,51.0,51.0,51.0,52.0,53.0,53.0,58.0,58.0,58.0,59.0,60.0,60.0
"Egypt, Arab Rep.",Full index,Universal health coverage (UHC) service coverage index,73.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,74.0,74.0,73.0,74.0,74.0,73.0,73.0,73.0,72.0,72.0,71.0,71.0,71.0,71.0
Australia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
"Bahamas, The",Full index,Universal health coverage (UHC) service coverage index,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,81.0,79.0,80.0,81.0,80.0,80.0,80.0
Serbia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0
Ukraine,Infectious diseases,Universal health coverage (UHC) service coverage index,93.0,93.0,93.0,93.0,92.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
United Arab Emirates,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Botswana,Non-communicable diseases,Universal health coverage (UHC) service coverage index,44.0,45.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0
India,Full index,Universal health coverage (UHC) service coverage index,31.0,34.0,36.0,38.0,41.0,43.0,45.0,47.0,49.0,51.0,53.0,54.0,56.0,57.0,60.0,62.0,63.0,64.0,63.0,65.0,66.0,67.0,68.0,69.0
"Yemen, Rep.",Full index,Universal health coverage (UHC) service coverage index,41.0,41.0,41.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,45.0,45.0,44.0,45.0,45.0,43.0
Burkina Faso,Infectious diseases,Universal health coverage (UHC) service coverage index,6.0,5.0,4.0,3.0,3.0,4.0,8.0,10.0,9.0,9.0,21.0,26.0,25.0,36.0,40.0,35.0,41.0,40.0,32.0,30.0,32.0,40.0,49.0,47.0
Tuvalu,Infectious diseases,Universal health coverage (UHC) service coverage index,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0
Papua New Guinea,Service capacity and access,Universal health coverage (UHC) service coverage index,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,18.0,17.0,16.0,16.0,15.0,12.0,15.0,19.0,21.0,24.0
Mauritius,Infectious diseases,Universal health coverage (UHC) service coverage index,89.0,89.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0
Kazakhstan,Infectious diseases,Universal health coverage (UHC) service coverage index,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
"Korea, Rep.",Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
United Arab Emirates,Service capacity and access,Universal health coverage (UHC) service coverage index,65.0,67.0,67.0,68.0,66.0,58.0,59.0,62.0,62.0,62.0,60.0,68.0,71.0,85.0,87.0,90.0,89.0,92.0,94.0,99.0,99.0,99.0,99.0,99.0
Federal Republic of Somalia,Infectious diseases,Universal health coverage (UHC) service coverage index,8.0,8.0,8.0,8.0,8.0,9.0,11.0,13.0,15.0,17.0,16.0,15.0,17.0,19.0,19.0,19.0,22.0,27.0,26.0,24.0,27.0,26.0,31.0,31.0
Belgium,Non-communicable diseases,Universal health coverage (UHC) service coverage index,55.0,56.0,56.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0
Monaco,Non-communicable diseases,Universal health coverage (UHC) service coverage index,47.0,48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0
Barbados,Infectious diseases,Universal health coverage (UHC) service coverage index,86.0,87.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0
Bahrain,Infectious diseases,Universal health coverage (UHC) service coverage index,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Samoa,Full index,Universal health coverage (UHC) service coverage index,58.0,58.0,58.0,59.0,58.0,56.0,56.0,57.0,57.0,57.0,58.0,59.0,59.0,61.0,61.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,62.0
Azerbaijan,Full index,Universal health coverage (UHC) service coverage index,54.0,54.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,58.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,67.0
Burkina Faso,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,29.0,31.0,33.0,34.0,36.0,38.0,39.0,43.0,46.0,49.0,53.0,54.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,73.0,74.0,74.0
