REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Libya,Infectious diseases,Universal health coverage (UHC) service coverage index,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0
"Venezuela, RB",Service capacity and access,Universal health coverage (UHC) service coverage index,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,60.0,61.0,61.0,60.0,65.0,66.0,65.0,61.0,63.0,63.0,64.0,54.0
Tajikistan,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,54.0,56.0,57.0,58.0,60.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
"Micronesia, Fed. Sts.",Full index,Universal health coverage (UHC) service coverage index,42.0,44.0,46.0,48.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,57.0,62.0,59.0,63.0,64.0,66.0,67.0,65.0,62.0,65.0,64.0,65.0,65.0
"Korea, Rep.",Full index,Universal health coverage (UHC) service coverage index,75.0,76.0,77.0,78.0,79.0,79.0,80.0,81.0,81.0,82.0,82.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0
Botswana,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,41.0,42.0,42.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0
Vietnam,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,65.0,67.0,68.0,72.0,74.0,76.0,77.0,77.0,78.0,77.0,77.0,77.0,78.0,77.0,80.0,79.0,79.0,79.0,77.0,78.0,78.0,77.0,77.0,76.0
Liberia,Service capacity and access,Universal health coverage (UHC) service coverage index,21.0,21.0,21.0,21.0,21.0,20.0,20.0,19.0,19.0,28.0,24.0,21.0,23.0,25.0,27.0,28.0,29.0,38.0,38.0,36.0,40.0,37.0,47.0,42.0
Syrian Arab Republic,Non-communicable diseases,Universal health coverage (UHC) service coverage index,60.0,60.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0
Botswana,Service capacity and access,Universal health coverage (UHC) service coverage index,61.0,59.0,59.0,60.0,62.0,59.0,62.0,64.0,63.0,64.0,63.0,61.0,59.0,59.0,66.0,72.0,71.0,66.0,54.0,57.0,64.0,59.0,64.0,60.0
Belgium,Full index,Universal health coverage (UHC) service coverage index,81.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,85.0,85.0,86.0
Burundi,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,37.0,37.0,37.0,38.0,38.0,38.0,41.0,43.0,45.0,48.0,51.0,52.0,53.0,54.0,54.0,54.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,55.0
Sweden,Service capacity and access,Universal health coverage (UHC) service coverage index,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,96.0,99.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0
Mauritania,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,35.0,37.0,38.0,38.0,38.0,39.0,40.0,41.0,41.0,40.0,41.0,42.0,41.0,40.0,40.0,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,43.0
Timor-Leste,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,48.0,47.0,47.0,48.0,50.0,51.0,53.0,55.0,57.0,58.0,60.0,60.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0
Burundi,Infectious diseases,Universal health coverage (UHC) service coverage index,9.0,9.0,10.0,8.0,7.0,8.0,20.0,35.0,36.0,39.0,41.0,47.0,48.0,47.0,59.0,57.0,43.0,51.0,50.0,52.0,44.0,36.0,51.0,51.0
Czechia,Full index,Universal health coverage (UHC) service coverage index,77.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,81.0,82.0,82.0,83.0,83.0,83.0
Ethiopia,Infectious diseases,Universal health coverage (UHC) service coverage index,2.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,6.0,5.0,8.0,7.0,6.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,12.0
