REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kiribati,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,
Iraq,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,74.25,,,,,,77.32,,,,,90.85,,,,,,
Sri Lanka,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,24.14,21.76,,,18.6,,,17.84,,,,15.49,,,12.51,,,,
Uruguay,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.44,,,,,,,,,,,0.67,,,,,,,
"Congo, Rep.",Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,2.51,,,,,,1.19,,,,,,,,,,,,
South Africa,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,61.81,,,,,79.54,,,44.14,,,,,,52.67,,,,,,,,,
Netherlands,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,3.17,,,,,,,,
Myanmar,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,3.98,,6.25,,,,,,
Nigeria,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,47.37,,,,,,,,,,,,,62.95,
Oman,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,1.3,0.98,1.18,1.14,1.03,1.35,0.92,1.0,1.07,1.08,0.94,,1.43,,,1.07,,,1.56,,,,1.71,
Nicaragua,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,24.73,,,,,,,,18.02,,,,,22.03,,,,,,,,,
"Iran, Islamic Rep.",All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,4.65,4.77,,,5.15,,,,3.54,,,6.92,3.33,3.55,2.95,4.24,5.1,4.25,
Maldives,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,27.5,,,,,35.52,,,,,,,6.08,,,10.1,,,,
Ethiopia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,33.42,,,,,,,54.23,,,,10.81,,,13.68,,,16.34,,
Syrian Arab Republic,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,85.27,,,,66.47,,,,,,,,,,,,,,,,
Madagascar,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,67.86,,,,,72.5,,67.38,,,,,,,,,12.87,,
Jordan,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,18.67,,,,,,13.75,,13.43,,,,,,,,,,,,,
Netherlands,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,3.02,,,,,,,,
Bhutan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,8.53,,,,7.78,,,,,5.33,,,,,4.7,,,,,8.98,
Colombia,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,17.19,,15.87,,,,,,,,,,,12.07,,
Malta,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,3.25,,,,,,,3.46,,,,,,,,
Honduras,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,10.01,,,,,,,,,,,,,,,,,,,
Bulgaria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,30.77,,23.66,22.92,21.49
Romania,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,11.1,11.15,12.49,11.87,15.2,14.65,,,14.51,17.09,14.93,15.13,15.31,15.86,,,17.16,,,,,,,
Madagascar,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,64.54,,57.06,,,,,,,,,,,
Bulgaria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,21.84,,22.11,15.68,20.63
Bolivia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,16.41,12.26,12.0,,,11.02,11.1,,7.91,,
Liberia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,17.27,,18.91,,,,,,,
Djibouti,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,0.08,,,,,,,,,,0.73,,,,,0.39,,,,,,
Tunisia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,18.31,,,,,19.6,,,,,18.02,,,,,15.12,,,,,,18.34,,
Togo,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,44.06,,,,,56.24,,,,97.83,,,66.25,,,63.08,,
Bulgaria,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,1.31,,,,1.95,,,,,1.9,,,,,1.55,3.07,2.96,2.8,3.32,,2.36,2.02,2.0
Zambia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,26.1,,34.97,,,,23.41,,,,,14.06,,,,,,,,
"Egypt, Arab Rep.",All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,15.7,,,,21.64,,,23.56,,30.16,,26.96,,,,
Timor-Leste,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,7.26,,,,,,,,,,,,,,,,
Malawi,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,35.4,,,,,,18.89,,,30.18,,,14.63,,,18.42,,,,
Eswatini,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,15.19,,,,,,,,,,,,,,,,8.8,,,,,,,
Eswatini,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,2.6,,,,,,,,,,,,,,,,2.05,,,,,,,
Guinea,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,8.4,,,,,,,,,,,,,,,,5.24,,,,,
Luxembourg,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,23.15,,,,,,,,,22.85,,,24.95,22.05
Zimbabwe,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,12.49,,,,,,
Finland,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,44.25,,,,,,49.96,,,,44.49,,,,,,,
Kosovo,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,14.05,,17.13,15.55,,,16.17,17.36,13.63,,,,,13.92,,,,,,,
Portugal,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,6.48,,,,,7.34,,,,,5.61,,,,,3.53,,,,,,,1.45,
Rwanda,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,45.49,,,,,39.91,,,,,,,,28.91,,,31.94,,,,,,,
Samoa,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,0.0,,,,,
Serbia,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.68,0.82,0.62,0.41,0.48,0.37,0.41,0.28,0.17,0.25,0.25,0.24,1.09,0.5,,0.46,0.39,
South Africa,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,48.4,,,,,76.95,,,42.46,,,,,,51.71,,,,,,,,,
Malawi,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,67.93,,,,,,41.87,,,61.85,,,46.06,,,47.57,,,,
Ireland,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,5.66,,,,,,,,,,,,,,
Colombia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,16.64,,16.05,,,,,,14.46,,,,,6.26,,
Tuvalu,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Djibouti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,22.07,,,,,,,,,,4.41,,,,,6.52,,,,,,
South Sudan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,17.47,,,,,,,34.29,,,,,,,
"Iran, Islamic Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,31.32,33.24,,,32.59,,,,28.67,,,37.84,31.53,29.44,32.38,29.41,31.21,28.42,
Namibia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,5.13,,,,,,3.23,,,,,,,,
Azerbaijan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,8.57,5.63,7.06,10.2,,,,,,,,,,,,,,,,,,
Kazakhstan,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,22.79,19.45,16.37,17.06,10.82,11.32,10.37,10.27,9.32,8.94,7.79,8.71,7.74,8.15,7.06,7.46,,8.22,,,,,
Djibouti,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,60.67,,,,,,,,,,11.11,,,,,18.72,,,,,,
Luxembourg,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,12.23,,12.73,12.66,12.33,13.12,13.71,13.43,,10.81,9.51,11.98,11.6,11.66
Tokelau (NZ),Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Zimbabwe,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,5.33,,,,,,
Ghana,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,55.26,,,,,,,36.76,,,,33.46,,,,,,,
Liberia,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,0.72,,,,,,,7.45,,4.55,,,,,,,
Grenada,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,0.0,,,,,,,,,,,,,,,
Zimbabwe,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,13.37,,,,,,
Federal Republic of Somalia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,29.99,38.93,,,,,,
Bhutan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,6.71,,,,5.16,,,,,3.97,,,,,,,,,,6.7,
Denmark,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,2.67,,,,,,,,,,,,,
Guatemala,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,8.07,,,,,,,,,,,,10.66
Trinidad and Tobago,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,4.38,,,,,,,,,
Jamaica,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,17.5,19.32,19.99,,,,21.31,21.87,19.62,,13.41,15.65,17.93,18.88,14.05,15.63,13.26,15.47,,19.34,,
Spain,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.76,0.73,0.82,0.77,0.81,0.78,0.87,0.84,0.91,1.27,1.07,0.92,0.93,1.21,1.05,1.27,1.38,1.28
Kazakhstan,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,26.44,24.17,23.09,21.98,13.96,11.58,11.88,10.04,11.8,10.07,8.76,8.92,8.1,8.06,7.73,6.01,,5.99,,,,,
Trinidad and Tobago,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.75,,,,,,,,,2.2,,,,,,,,,
Bulgaria,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,2.96,,,,2.92,,,,,3.19,,,,,3.99,10.51,7.28,7.74,8.27,,6.56,6.18,7.27
Philippines,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,1.26,,,1.16,,,1.88,,,1.97,,,2.36,,,2.49,,,1.3,,,1.54,,1.47
Dominican Republic,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,22.53,,,,,,,,,,,12.27,,,,,
Togo,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,46.21,,,,,26.64,,,,54.87,,,43.29,,,40.01,,
Burundi,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,100.0,,,,,,,79.84,,,,,,,,,,
Guinea,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,33.73,,,,,42.02,,,,,27.41,,,,,,35.18,,,,,
Lithuania,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,3.86,4.27,4.07,2.21,2.35,,,,3.99,,,,,,,,4.74,,,,,5.12,,
Belarus,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,44.89,35.63,13.59,10.03,7.8,3.16,4.31,4.82,3.48,3.07,3.77,5.15,4.27,4.44,5.29,7.24,6.24,4.54,4.95,,,
West Bank and Gaza,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.5,3.19,0.32,1.72,,1.14,1.68,1.61,,,,,1.7,,,,,,,1.79
Sierra Leone,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,47.46,,,,,,,,39.75,,,,,,,27.75,,,,,
Andorra,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,6.38,7.65,6.17,4.36,5.58
Maldives,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,2.37,,,,,8.89,,,,,,,5.34,,,3.49,,,,
Norway,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Belize,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,1.93,,,,,
Jordan,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,0.0,,,,,,0.36,,0.71,,,,,,,,,,,,,
Finland,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,6.65,,,,,,8.17,,,,10.61,,,,,,,
Uruguay,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,16.58,,,,,,,,,,,24.56,,,,,,,
Uruguay,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.45,,,,,,,,,,,0.13,,,,,,,
Costa Rica,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,11.65,,,,,,,,9.97,,,,,,9.79,,,,,
Cabo Verde,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,10.91,,,,,,7.61,,,,,,,,16.29,,,,,,,,
South Sudan,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,18.09,,,,,,,,,,,,,,
Kiribati,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.7,,,,,,,,,,,,,2.09,,,,
Tunisia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,19.37,,,,,20.91,,,,,24.44,,,,,21.42,,,,,,31.18,,
Mali,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,2.83,,,,,,,,2.15,,,,2.01,,,3.6,,,4.42,,
Nepal,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,46.02,,,,,,,,,,30.54,30.04,29.91,28.72,,,,,,24.94,
Greece,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,17.36,,,,14.75,14.76,14.46,11.34,11.99,13.94,14.95,13.89,13.17,13.07,13.42,12.24,12.61,14.2,14.05,18.85
Mexico,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.48,,,,1.2,,1.01,,0.68,,0.85,,0.29,,0.82,,0.52,,1.65,
Guatemala,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.85,,,,,,,,,,,1.17,,,2.43,,,,,,,,,1.49
Cambodia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,18.93,16.55,7.93,,,10.19,,,,,11.37,,8.58,,10.16
Nepal,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,40.28,,,,,,,,,,25.34,24.62,24.84,23.55,,,,,,18.5,
Morocco,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.52,,,,,,2.34,,,,,,,2.33,,,,,,,,,,
Kenya,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,66.82,,,,,,,,,,53.52,,,,,,,,
Tonga,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.21,,,,,,0.0,,
"Micronesia, Fed. Sts.",All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,0.0,,,,,,,,,,
Sudan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,16.86,,,,,,,,,,,,,,
Liberia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,31.87,,37.71,,,,,,,
Ukraine,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,2.31,1.79,1.5,1.2,0.9,1.02,1.14,1.24,1.24,1.94,1.76,1.61,1.81,0.79,2.44,1.65,1.79,0.95,,,,
"Egypt, Arab Rep.",Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,2.69,,,,5.14,,,5.7,,6.74,,6.13,,,,
Uganda,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,71.97,,,79.54,,,,61.71,,,50.23,,,,45.89,,,41.63,,,,
Malaysia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,0.52,
Finland,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,7.18,,,,,,8.34,,,,7.15,,,,,,,
Lebanon,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,11.57,,,,,,,,
Colombia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,47.42,,45.01,,,,,,52.76,,,,,12.43,,
India,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,43.74,43.0,,41.54,38.8,,42.27,37.06,,40.6,,42.79,,,,,,,,,,,30.94,
Ukraine,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,14.15,11.22,11.38,9.31,9.17,8.63,8.7,9.0,8.01,7.69,8.13,7.71,7.84,9.22,9.07,9.31,9.21,8.85,,,,
Marshall Islands,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,24.02,,,,
Peru,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,14.46,,,,,,7.54,6.46,6.4,4.51,6.57,5.35,4.61,4.34,4.43,3.34,3.18,3.36,3.71,4.1,3.97,4.33,7.4,
Madagascar,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,0.29,,,,,0.41,,0.45,,,,,,,,,0.48,,
Niger,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,46.81,,91.07,,,,82.12,,,,,,,94.36,,,65.54,,
Vanuatu,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,4.2,,,,
Belgium,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,1.44,,,,,,,,,,,,,,
Indonesia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,18.68,17.23,,17.98,16.52,16.77,15.57,,12.72,11.76,10.77,9.7,10.48,12.83,,,11.73,10.15,8.67,,10.44,10.16,9.61
Nicaragua,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,34.85,,,,,,,,30.39,,,,,33.02,,,,,,,,,
Zimbabwe,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,9.35,,,,,,
Greece,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,10.47,,,,8.01,8.7,10.68,6.96,8.25,9.79,10.75,13.64,8.82,7.71,8.38,7.39,5.55,9.96,9.13,13.74
Bulgaria,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,12.99,,,,11.86,,,,,12.65,,,,,11.77,12.66,12.99,11.89,11.72,,10.41,9.06,8.71
Nigeria,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,50.25,,,,,,47.64,71.93,,75.04,,,79.24,,,80.57,,,,85.58,
Nicaragua,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,35.89,,,,,,,,31.65,,,,,34.68,,,,,,,,,
Cyprus,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,5.74,,,,,,5.76,,,,,,,,3.05
Bhutan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,3.28,,,,,2.91,,,,,,,,,,2.24,
Togo,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,39.12,,,,,41.12,,,,69.9,,,,,,33.09,,
Bhutan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,4.53,,,,1.2,,,,,2.76,,,,,0.48,,,,,0.0,
Rwanda,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,46.43,,,,,40.65,,,,,,,,29.43,,,32.57,,,,,,,
Tunisia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,34.88,,,,,41.31,,,,,,,,,,,,,
Albania,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,7.59,,,4.38,,,6.18,,,,9.58,,,,,1.02,,,,,,
"Congo, Dem. Rep.",Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.21,,,,,,,,1.18,,,,,,,,,,,
Syrian Arab Republic,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,16.44,,,,12.04,,,,,,,,,,,,,,,,
Madagascar,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,32.3,,,,,33.78,,28.8,,,,,,,,,4.34,,
Finland,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,3.11,,,,,,2.96,,,,3.0,,,,,,,
Hungary,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,18.77,20.78,22.14,34.76,30.17,25.66,25.58,24.34,,,,,,,,,,,,,,,,
São Tomé and Príncipe,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,12.85,,,,,,,17.37,,,,,,
Denmark,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,2.8,,,,,,,,,,,,,
Germany,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,3.23,,,,,,,,,,,,,
Germany,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,4.96,,,,,,,,,,,,,
Romania,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,1.33,1.38,1.36,1.27,1.68,1.49,1.67,1.82,1.48,1.38,1.56,1.59,1.59,1.73,,,2.12,,,,,,,
Slovak Republic,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,2.92,2.46,2.71,2.72,3.05,1.97,3.05,2.64,,,2.48,,,,,2.43,2.24,1.88,
Costa Rica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,13.55,,,,,,,,13.38,,,,,,13.42,,,,,
Sierra Leone,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,57.28,,,,,,,,52.61,,,,,,,47.89,,,,,
Ecuador,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,2.89,,2.34,,,,,,,,,,
Honduras,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.67,,,,,,,,,,,,,,,,,,,
Tokelau (NZ),All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Mozambique,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,17.31,,,,,,24.89,,,,,6.4,,,,
Belarus,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,33.15,28.74,24.82,24.54,23.79,20.74,20.46,21.02,19.09,18.96,16.57,15.58,15.7,17.15,17.01,15.65,14.89,14.16,,,,
Rwanda,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,39.8,,,,,,,,28.08,,,33.35,,,,,,,
Croatia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,4.11,4.45,2.78,,,,,,,,,,,,,
Maldives,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,22.94,,,,
Guatemala,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,7.51,,,,,,,,,,,8.88,,,,,,,,,,,,11.86
Suriname,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,6.48,
Panama,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,5.9,,,,,,,,,,,,,,,,,,,,
Luxembourg,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,2.65,,4.03,3.33,3.55,3.14,3.92,5.51,,6.56,3.78,7.16,8.13,4.26
Bhutan,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,5.27,,,,6.65,,,,,3.56,,,,,3.96,,,,,8.59,
South Africa,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.46,,,,,0.65,,,0.61,,,,,,0.31,,,,,,,,,
Türkiye,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,11.84,9.55,10.46,11.05,11.12,11.05,11.97,12.98,13.39,13.76,12.17,14.54,14.4,11.97,11.33,,,,,,,
